author,year,title,journal,doi,Loon_Lens_Confidence_Level,Loon_Lens_Decision,Human_Decision,Loon_Lens_Reasoning,,,
"Bjørklund, ; Gurgaş, L.; Hangan, T.",2026,Ozone-induced Neurotoxicity: Mechanistic Insights and Implications for Neurodegenerative Diseases,Current Medicinal Chemistry,10.2174/0109298673375058250624070823,VERY_HIGH,EXCLUDE,EXCLUDE,"The article explicitly states in its abstract, ""this review highlights the critical need to reduce ozone exposure..."" This directly indicates that the article is a review, which falls under the exclusion criterion for 'Non observational studies such as experimental (clinical trials, especially for a drug), qualitative studies, or case reports, case studies, case-series: Look for key words in title & abstract that suggest an article is a review, a meta-analysis, commentary, editor, a summary, or perhaps a book chapter.' While other inclusion criteria like the mention of Ozone (O3) as an air pollutant and Parkinson's disease as an adverse health outcome linked to air pollution are met, the study design as a review article leads to its exclusion. and Exclusion reason: publication_type",,,
"Adler, C.H.",1999,Differential diagnosis of Parkinson's disease,Medical Clinics of North America,10.1016/S0025-7125(05)70108-5,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it does not meet several key inclusion criteria. First, the abstract describes the 'differential diagnosis of PD' and 'evaluating a patient with parkinsonism,' which suggests a review, commentary, or clinical guidance rather than a primary or secondary observational study (e.g., cross-sectional, cohort, case-control). This directly violates the inclusion criterion for observational studies and aligns with the exclusion criterion for 'Non observational studies such as experimental... qualitative studies, or case reports, case studies, case-series.' Second, neither the title nor the abstract mentions any of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)). This violates the inclusion criterion that 'At least one pollutant must be mentioned' and aligns with the exclusion criterion 'No air pollutant is mentioned.' Finally, while Parkinson's is explicitly mentioned, there is no mention of it being related to air pollution, which violates the inclusion criterion 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution' and aligns with the exclusion criterion 'Parkinson's is not mentioned as related to air pollutants above.' and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
"Jahanshahi, ; McVicar, D.; Rowland, N.",2025,Exposure to ambient air pollution and onset of Parkinson’s disease in a large cohort study,npj Parkinson's Disease,10.1038/s41531-025-01156-z,HIGH,INCLUDE,INCLUDE,"Assessment vs. criteria (PEO-style: Population–Exposure–Outcome, observational etiology question): and Arguments for inclusion: and - Language: Title/abstract are in English. and - Study design: Explicitly a “population-based longitudinal cohort study,” i.e., an observational human study (included design). and - Exposure: Nitrogen dioxide (NO2) is explicitly assessed (annual average NO2 at 1 km grid). NO2 is one of the specified pollutants (CO/O3/NO2). and - Outcome: Parkinson’s disease is explicitly investigated (“Parkinson’s disease (PD)” and “PD onset” tracked via first receipt of PD medication), and the analysis evaluates associations between NO2 exposure and PD onset. and Arguments for exclusion: and - None that clearly apply. Although PM2.5 is also included as a co-exposure, the exclusion rule for particulate matter applies when the study only mentions particulate matter. Here, NO2 is explicitly included and analyzed, so the study still meets the exposure criterion. and Consideration of prior screeners: and - The liberal screener’s inclusion is consistent with the criteria because NO2 (an allowed pollutant) and PD outcome are both explicitly studied in an observational cohort. and - The strict screener’s concern about mixed exposures is not an exclusion criterion as written; the criteria require at least one of CO/O3/NO2 to be mentioned/investigated, which is satisfied. Co-assessment with PM2.5 does not negate eligibility. and Conclusion: Include, because this is an English-language observational cohort examining NO2 in relation to Parkinson’s disease onset.",,,
"Li, ; Maher, P.; Schubert, D.",1997,Requirement for cGMP in nerve cell death caused by glutathione depletion,Journal of Cell Biology,10.1083/jcb.139.5.1317,VERY_HIGH,EXCLUDE,EXCLUDE,"The article does not meet several key inclusion criteria. Firstly, it is an experimental study investigating nerve cell death in vitro using 'immature cortical neurons' and 'a hippocampal nerve cell line,' rather than an observational study of a human population. Secondly, none of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) are mentioned in the title or abstract. While Parkinson's disease is mentioned, it is not investigated as an adverse health outcome related to any of the defined air pollutants. The study focuses on 'glutathione depletion' and 'cGMP' pathways. Therefore, the article is excluded because it is a non-observational study, does not mention the required air pollutants, and does not link Parkinson's disease to air pollution. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, population",,,
"Wu, ; Wan, S.; Yang, S.; Hu, H.; Zhang, C.; Lai, J.; Zhou, J.; Chen, W.; Tang, X.; Luo, J.; Zhou, X.; Yu, L.; Wang, L.; Wu, A.; Fan, Q.; Wu, J.",2022,Macrophage cell membrane-based nanoparticles: a new promising biomimetic platform for targeted delivery and treatment,Journal of Nanobiotechnology,10.1186/s12951-022-01746-6,VERY_HIGH,EXCLUDE,EXCLUDE,"Assessment against eligibility criteria (PEO-style: human population + exposure to CO/O3/NO2 + Parkinson’s outcome in an observational design): and - Language: The title/abstract are in English (meets language criterion). and - Study design/publication type: The abstract explicitly states “In this review, we have summarized…”, indicating this is a narrative review (secondary research), not a primary/secondary observational study of a human population (e.g., cohort, case-control, cross-sectional). Reviews are excluded per criteria. and - Exposure (air pollutants): No mention of the required pollutants (carbon monoxide, ozone, nitrogen dioxide) in the title or abstract. The topic is macrophage membrane–based nanoparticles and targeted therapy, not air pollution exposure. and - Outcome (Parkinson’s): Parkinson’s disease is not explicitly mentioned; only broad categories like “central nervous system diseases” are referenced, without linking to Parkinson’s or any air pollutant. and - Required exposure–outcome link: No investigation of Parkinson’s in relation to CO/O3/NO2 is described. and Consideration of prior screeners: and - The strict screener’s exclusion is consistent with the abstract (clear review article; no CO/O3/NO2; no explicit Parkinson’s). and - The liberal screener’s inclusion relies on speculation that full text might mention pollutants/Parkinson’s; this is not supported by the provided title/abstract and contradicts the explicit ‘review’ publication type exclusion. and Conclusion: Exclude because it is a review article and does not mention the specified pollutants or Parkinson’s disease in relation to them. and Exclusion reason: publication_type and Exclusion labels: publication_type, exposure",,,
"Frankel, ; Mehindate, K.; Schipper, H.M.",2000,Role of heme oxygenase-1 in the regulation of manganese superoxide dismutase gene expression in oxidatively-challenged astroglia,Journal of Cellular Physiology,10.1002/1097-4652(200010)185:1<80::AID-JCP7>3.0.CO;2-W,VERY_HIGH,EXCLUDE,EXCLUDE,"Overall assessment against eligibility criteria (best fit: PEO—Population/Exposure/Outcome for observational etiology questions): and - Language: Appears to be English (meets criterion). and - Study design / population (required): The inclusion criteria require a primary/secondary observational study of a *human population* (e.g., cohort, case-control, cross-sectional). This article is a mechanistic laboratory experiment in “cultured rat astroglia” with transfection and chemical challenges; it is not an observational human study. Therefore it fails the required study design/population criterion. and - Exposure (required): Although “carbon monoxide” is mentioned, it is discussed as an *endogenous* product “liberated by the activity of HO-1” in cells, not as an environmental air pollutant exposure (indoor/outdoor) assessed in an observational setting. Thus it does not meet the intended air-pollution exposure criterion. and - Outcome (Parkinson’s): Parkinson disease is mentioned, but only as a speculative/pathogenesis context (“may play an important role in the pathogenesis…”), not as an observed health outcome measured in relation to air pollution exposure. and Arguments for inclusion: and - Mentions Parkinson disease and carbon monoxide explicitly. and - English language. and Arguments for exclusion: and - Not an observational epidemiologic study; it is an in vitro/animal cell experimental study (rat astroglia, transfection, antioxidant treatments). and - No assessment of environmental CO/O3/NO2 exposure; CO is referenced as a biochemical byproduct. and - Parkinson’s is not evaluated as an outcome in a human population exposed to air pollution. and Consideration of prior screeners: and - AI Researcher 1’s inclusion rationale hinges on treating a rat cell-culture mechanistic experiment as “observational” and treating endogenous CO as the air pollutant exposure; this conflicts with the explicit requirement for observational studies of a human population and the intended ambient/indoor pollutant exposure context. and - AI Researcher 2’s exclusion rationale aligns with the criteria: non-human experimental model and no environmental air-pollution exposure/outcome linkage. and Conclusion: Exclude because the study is not an observational human population study and does not investigate environmental CO/O3/NO2 exposure in relation to Parkinson’s disease. and Exclusion reason: study_design and Exclusion labels: study_design, population, exposure",,,
"Minj, ; Yadav, R.K.; Mehan, S.",2021,Targeting abnormal NRF2/HO-1 signaling in amyotrophic lateral sclerosis: Current insights on drug targets and influences on neurological disorders,Current Molecular Medicine,10.2174/1566524021666210111104920,VERY_HIGH,EXCLUDE,EXCLUDE,"### Criteria check (PEO-style: exposure–outcome observational question) and **Meets inclusion?** and - **Language (English):** Yes (title/abstract in English). and **Fails inclusion / triggers exclusion:** and - **Study design / publication type:** The abstract explicitly states **“In this review…”** and summarizes mechanisms/targets. This is **not a primary or secondary observational study** of humans (e.g., cohort, case-control, cross-sectional) as required. and - **Exposure (required pollutants):** The abstract does **not mention CO, O3, or NO2** (nor an air-pollution exposure assessment). and - **Outcome (Parkinson’s required):** The focus is **amyotrophic lateral sclerosis (ALS)**; **Parkinson’s disease is not explicitly mentioned** as an outcome. and - **Exposure–outcome link:** There is **no investigation of Parkinson’s in relation to CO/O3/NO2**. and ### Weighing prior screeners and - The strict screener is correct: multiple hard-fail criteria are clearly unmet (review article; no CO/O3/NO2; no Parkinson’s). and - The liberal screener’s rationale relies on implicit mechanisms (oxidative stress) and treating ALS as “similar” to Parkinson’s; however, the criteria require **explicit Parkinson’s** and **explicit mention of at least one specified pollutant**, which are absent. and ### Conclusion and Exclude because it is a **review** and does not address the required **pollutants** nor **Parkinson’s disease** as an outcome related to those pollutants. and Exclusion reason: publication_type and Exclusion labels: publication_type, exposure, study_design",,,
"Özyurt, ; Kaya, F.N.; Kahveci, F.; Alper, E.",2008,Comparison of SPECT findings and neuropsychological sequelae in carbon monoxide and organophosphate poisoning,Clinical Toxicology,10.1080/15563650701378704,HIGH,EXCLUDE,EXCLUDE,"This review’s eligibility criteria align best with a PEO-style question (Population: human populations; Exposure: air pollutants CO/O3/NO2 in indoor/outdoor settings; Outcome: Parkinson’s disease outcomes) focused on observational epidemiology of air pollution and Parkinson’s. and Article assessment vs criteria: and - Language: Appears to be English (meets criterion). and - Study design (key issue): The abstract describes 14 poisoned patients undergoing SPECT with follow-up for neuropsychological sequelae. This is a small clinical patient series/case-series style study, not a population-based observational design (cross-sectional/cohort/case-control) as intended by the inclusion criteria; case reports/case series are explicitly listed for exclusion. and - Exposure (key issue): Although carbon monoxide (CO) is mentioned, the exposure is acute CO (and organophosphate) poisoning—i.e., a clinical toxic exposure—not environmental/ambient air pollution exposure in an indoor/outdoor setting as generally meant by “air pollutants” in this review context. and - Outcome: “Parkinsonism” is mentioned as a sequela, but the study does not investigate Parkinson’s disease incidence/prevalence/hospitalization/mortality in relation to air pollution exposure; it reports parkinsonian symptoms after poisoning. and Arguments for inclusion: and - Mentions CO explicitly (one of the target pollutants). and - Reports parkinsonism as an adverse neurologic outcome. and Arguments for exclusion: and - Clear case-series/clinical imaging study of a small number of poisoned patients (excluded study design). and - Exposure is acute poisoning rather than air pollution exposure in a population-based observational context. and Consideration of prior screeners: and - The strict screener’s exclusion rationale is more consistent with the criteria, particularly the explicit exclusion of case series and the mismatch between acute poisoning and air-pollution epidemiology. and - The liberal screener treated “observational” broadly, but the criteria explicitly discourage patient case-series designs; here the design and exposure context are sufficiently clear to exclude. and Conclusion: Exclude due to case-series style clinical poisoning study and non-ambient exposure context, despite mentioning CO and parkinsonism. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
Heinrich and Julia N.; Brennan and Julie; Lai and Margaret H.; Sullivan and Kelly; Hornby and Geoff; Popiolek and Mike; Jiang and Li-Xin; Pausch and Mark H.; Stack and Gary; Marquis and Karen L.; Andree and Terrance H.,2006,"Aplindore (DAB-452), a high affinity selective dopamine D2 receptor partial agonist",European journal of pharmacology,10.1016/j.ejphar.2006.08.063,VERY_HIGH,EXCLUDE,EXCLUDE,"The article describes an experimental study characterizing the pharmacology of a drug (aplindore) in CHO-K1 cells and rats, which does not meet the inclusion criterion for 'Primary or secondary observational studies of a human population'. Furthermore, the article does not mention any of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)), failing the 'Air pollutants to be mentioned' criterion. Although Parkinson's disease is mentioned, it is discussed in the context of 'dopaminergic-based disorders' and the drug's potential treatment, not as an adverse health outcome related to air pollution, thus failing the 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution' criterion. These points align with the exclusion criteria for 'Non observational studies' and 'No air pollutant is mentioned' and 'Parkinson's is not mentioned as related to air pollutants above'. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, population",,,
"Sant Anna, d.S.; Machado, P.; Sauzem, P.D.; Rosa, F.A.; Rubin, M.A.; Ferreira, J.; Bonacorso, H.G.; Zanatta, N.; Martins, M.A.P.",2009,Ultrasound promoted synthesis of 2-imidazolines in water: A greener approach toward monoamine oxidase inhibitors,Bioorganic and Medicinal Chemistry Letters,10.1016/j.bmcl.2008.03.001,VERY_HIGH,EXCLUDE,EXCLUDE,"The article describes the ultrasound-promoted synthesis of 2-imidazolines and their ability to inhibit monoamine oxidase (MAO) activity. This is a laboratory-based experimental study focused on chemical synthesis and pharmacological testing, not an observational study of a human population, thus failing the inclusion criterion for 'Primary or secondary observational studies of a human population'. Furthermore, none of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) are mentioned in the title or abstract, failing the 'Air pollutants to be mentioned' criterion. Lastly, Parkinson's disease is not explicitly mentioned as an adverse health outcome, nor is it linked to air pollution, failing both 'Parkinson's is explicitly mentioned as an adverse health outcome' and 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution' criteria. Therefore, the study does not meet multiple key inclusion criteria and aligns with exclusion criteria for non-observational studies and lack of relevant exposure and outcome. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, population",,,
"Lin, B.",2013,Encephalopathy: A vicious cascade following forebrain ischemia and hypoxia,Central Nervous System Agents in Medicinal Chemistry,10.2174/1871524911313010008,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it fails to meet several key inclusion criteria. Firstly, the study does not appear to be an observational study of a human population; the abstract discusses 'experimental studies in animals' and focuses on 'mechanisms' and a 'vicious cascade' of damage, suggesting a review or mechanistic study rather than an observational study. Secondly, none of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) are mentioned in the title or abstract. The abstract refers to 'ischemic/hypoxic encephalopathy' and 'blood-borne toxic substances' but not air pollution. Consequently, while Parkinson's syndrome is mentioned as an adverse health outcome, it is not linked to any of the three defined air pollutants, which is a critical inclusion criterion. These points align with the exclusion criteria regarding non-observational studies and the absence of specified air pollutants or their link to Parkinson's. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
"Villalón-García, ; Povea-Cabello, S.; Álvarez-Córdoba, M.; Talaverón-Rey, M.; Suárez-Rivero, J.M.; Suárez-Carrillo, A.; Munuera-Cabeza, M.; Reche-López, D.; Cilleros-Holgado, P.; Piñero-Perez, R.; Sánchez-Alcázar, J.A.",2023,Vicious cycle of lipid peroxidation and iron accumulation in neurodegeneration,Neural Regeneration Research,10.4103/1673-5374.358614,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it is explicitly identified as a 'review' article in the abstract, which falls under the exclusion criterion for 'Non observational studies such as experimental (clinical trials, especially for a drug), qualitative studies, or case reports, case studies, case-series'. Furthermore, the article does not mention any of the required air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) in either the title or abstract. Lastly, while Parkinson's is mentioned, it is not linked to any of the specified air pollutants, failing the inclusion criterion that 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution'. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
"Rivas-Arancibia, ; Hernández-Zimbrón, L.F.; Rodríguez-Martínez, E.; Deyanira-Maldonado, P.; Borgonio-Pérez, G.; Sepúlveda-Parada, M.",2015,Oxidative stress-dependent changes in immune responses and cell death in the substantia nigra after ozone exposure in rat,Frontiers in Aging Neuroscience,10.3389/fnagi.2015.00065,VERY_HIGH,EXCLUDE,EXCLUDE,"## Eligibility assessment vs criteria (PEO: Population–Exposure–Outcome) and ### Arguments for inclusion and - **Language:** Appears to be written in **English**. and - **Exposure mentioned:** **Ozone (O3)** is explicitly studied. and - **Outcome relevance:** Mentions **Parkinson’s disease** and investigates substantia nigra cell death/inflammatory responses that are discussed as potentially relevant to Parkinson’s. and ### Arguments for exclusion (decisive) and - **Study design / population mismatch:** This is a **controlled experimental animal study** (“Animals were exposed…”, rat model with ozone-free air control vs ozone exposure for set durations), **not an observational study of a human population** (e.g., cohort, case-control, cross-sectional) as required by the inclusion criteria. and - Because the review’s inclusion criteria explicitly restrict to **human observational** evidence, mechanistic/toxicology animal experiments do not qualify even if they concern ozone and Parkinson’s-related biology. and ### Consideration of prior screeners and - The **strict screener’s exclusion** rationale aligns directly with the inclusion criteria (human observational studies only) and is the correct interpretation. and - The **liberal screener** acknowledged the study is an animal experiment; however, relevance/mechanistic contribution does not override the explicit **human observational** requirement. and ## Conclusion and Exclude: experimental rat study rather than an observational human study investigating Parkinson’s outcomes in relation to CO/O3/NO2 exposure. and Exclusion reason: population and Exclusion labels: population, study_design",,,
"Tao, ; Chen, G.; Wu, L.; Lou, H.",2025,Synergistic impact of air pollution and artificial light at night on memory disorders: a nationwide cohort analysis,BMC Public Health,10.1186/s12889-025-22863-5,HIGH,EXCLUDE,EXCLUDE,"## Criteria match assessment (PEO framework: Population–Exposure–Outcome) and ### Arguments for inclusion and - **Language**: Title/abstract are in English. and - **Study design**: Nationwide cohort analysis using CHARLS and CFPS with Cox regression → observational longitudinal cohort. and - **Exposure**: Includes **NO2** (explicitly mentioned) which is one of the eligible pollutants (CO/O3/NO2). and ### Arguments for exclusion and - **Outcome requirement not met**: The inclusion criteria require **Parkinson’s to be explicitly mentioned as an adverse health outcome** and investigated in relation to the eligible pollutant(s). In the title/abstract, outcomes are **memory impairment** and references to **Alzheimer’s/neurodegenerative diseases**, but **Parkinson’s disease is not mentioned**. and - Because PD explicit mention is a mandatory inclusion element here (not merely optional), this fails the outcome criterion as written. and ### Consideration of prior screeners and - **AI Researcher 1 (include)** relied on “neurodegenerative diseases” possibly encompassing Parkinson’s and suggested it might appear in full text. However, the eligibility criteria explicitly state Parkinson’s must be explicitly mentioned as an outcome of interest; this is not satisfied in the provided title/abstract. and - **AI Researcher 2 (exclude)** aligns with the criteria more directly: the study appears focused on memory impairment/Alzheimer’s rather than Parkinson’s. and ## Conclusion and Despite matching exposure (NO2) and observational design, the study should be excluded because Parkinson’s disease is not explicitly an outcome in the title/abstract and is not linked to the pollutants in the provided text. and Exclusion reason: outcome",,,
"Nagpure, ; Bian, J.-S.",2015,"Brain, learning, and memory: Role of H2S in neurodegenerative diseases",Handbook of Experimental Pharmacology,10.1007/978-3-319-18144-8_10,VERY_HIGH,EXCLUDE,EXCLUDE,"The article should be excluded because it fails to meet several key inclusion criteria and meets multiple exclusion criteria. First, the abstract explicitly states, 'In this chapter, we will overview the current understanding...', indicating that it is a review or a book chapter, not a primary or secondary observational study of a human population, which is a strict inclusion criterion. This also aligns with the exclusion criterion for 'Non observational studies such as experimental... review, a meta-analysis, commentary, editor, a summary, or perhaps a book chapter.' Second, the primary substance discussed is Hydrogen Sulfide (H2S), described as an 'endogenous gaseous mediator,' not one of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) being investigated as an environmental exposure. While Carbon Monoxide (CO) is mentioned, it is in the context of 'a third endogenous gaseous mediator along with nitric oxide and carbon monoxide,' not as an air pollutant whose health effects are being studied. The inclusion criteria specifically require at least one of the *defined air pollutants* to be mentioned. Consequently, Parkinson's disease, while explicitly mentioned, is related to H2S, not to any of the three defined air pollutants as environmental exposures, which violates the inclusion criterion requiring Parkinson's to be related to the specified air pollutants. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
"Dhaliwal, ; Rosario, B.H.",2022,Cognitive impairment and parkinsonism as a manifestation of delayed neuropsychological sequelae after carbon monoxide poisoning: a case report,Asian Journal of Gerontology and Geriatrics,10.12809/ajgg-2021-487-cr,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is a 'case report' as explicitly stated in the title and abstract. The inclusion criteria explicitly exclude 'case reports, case studies, case-series' under the 'Non observational studies' exclusion criterion. While other inclusion criteria regarding the mention of Carbon Monoxide and Parkinsonism are met, the study design directly violates a key exclusion criterion. and Exclusion reason: study_design",,,
"Liew, ; Millott, S.; Parkinson, C.; Palmer, R. M.; Moncada, S.",1990,Macrophage killing of Leishmania parasite in vivo is mediated by nitric oxide from L-arginine,"Journal of immunology (Baltimore, Md. : 1950)",NA,VERY_HIGH,EXCLUDE,EXCLUDE,"The article does not meet several key inclusion criteria. Firstly, it is an experimental study conducted on mice ('Peritoneal macrophages from CBA mice', 'CBA mice infected with L. major'), not an observational study of a human population. Secondly, while 'NO2-' is mentioned, it is in the context of a biological pathway (L-arginine:nitric oxide pathway) and not as an environmental air pollutant (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) as required by the criteria. Lastly, Parkinson's disease is not mentioned anywhere in the title or abstract as an adverse health outcome, nor is it linked to air pollution. Therefore, the study fails to meet the criteria regarding population, exposure, and outcome. and Exclusion reason: population and Exclusion labels: population, exposure, study_design",,,
"Oz, ; Küçükkelepçe, O.; Kurt, O.; Vural, A.",2023,"Carbon monoxide poisoning: beyond survival - mortality, morbidities, and risk factors, a Turkey sample",PeerJ,10.7717/peerj.16093,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is a descriptive-retrospective observational study written in English, and it explicitly mentions Carbon Monoxide (CO) as an air pollutant. However, the abstract does not explicitly mention Parkinson's disease as an adverse health outcome. It refers to 'new morbidities' and 'nine diagnoses' but does not specify Parkinson's or any related neurodegenerative diseases. Therefore, it fails to meet the inclusion criteria requiring Parkinson's to be explicitly mentioned as an adverse health outcome and linked to the air pollutant. and Exclusion reason: population",,,
"Rice, ; Avshalumov, M.V.; Patel, J.C.",2006,Hydrogen peroxide as a diffusible messenger: Evidence from voltammetric studies of dopamine release in brain slices,NA,NA,VERY_HIGH,EXCLUDE,EXCLUDE,"The article does not meet several key inclusion criteria. Firstly, it is an experimental study focusing on 'voltammetric studies of dopamine release in brain slices' and cellular mechanisms (reactive oxygen species, hydrogen peroxide), rather than an observational study of a human population. This directly violates the inclusion criterion requiring 'Primary or secondary observational studies of a human population' and aligns with the exclusion criterion for 'Non observational studies such as experimental'. Secondly, while 'Carbon Monoxide' is mentioned, it is described as a 'diffusible messenger' and not as an air pollutant being investigated in relation to health outcomes. The study's focus is on Hydrogen Peroxide and other reactive oxygen species, not the specified air pollutants (CO, O3, NO2) in the context of air pollution. Therefore, it fails the criterion that 'At least one pollutant must be mentioned in TiAb or FT' in the context of air pollution. Lastly, although Parkinson's disease is mentioned, it is discussed in relation to 'oxidative stress' and 'ROS' (Reactive Oxygen Species), not explicitly linked to any of the three defined air pollutants (CO, O3, NO2) as required by the criterion 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution'. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, population",,,
"Mazzio, ; Bauer, D.; Mendonca, P.; Taka, E.; Soliman, K.F.A.",2017,Natural product HTP screening for attenuation of cytokine-induced neutrophil chemo attractants (CINCs) and NO2 − in LPS/IFNγ activated glioma cells,Journal of Neuroimmunology,10.1016/j.jneuroim.2016.11.012,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it is an in vitro experimental study, not an observational study of a human population. The abstract explicitly states, 'we conduct a high throughput (HTP) screening... for anti-inflammatory effects on lipopolysaccharide (LPS)/interferon gamma (IFNγ) activated C6 glioma cells' and 'in vitro efficacy index'. This directly contradicts the inclusion criterion requiring 'Primary or secondary observational studies of a human population'. Additionally, while Parkinson's and NO2- are mentioned, the study does not investigate Parkinson's as an adverse health outcome related to air pollution. NO2- is mentioned in the context of cellular inflammation ('NO2− in LPS/IFNγ activated glioma cells') and as a 'guideline molecule' for anti-inflammatory effects of natural products, not as an environmental air pollutant impacting Parkinson's disease in humans. This violates the inclusion criterion 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution' and aligns with the exclusion criterion 'Parkinson's is not mentioned as related to air pollutants above'. and Exclusion reason: study_design and Exclusion labels: study_design, exposure, population",,,
"Kuroda, ; Fujihara, K.; Takahashi, S.; Shinozawa, Y.; Itoyama, Y.",2012,A case of delayed encephalopathy after carbon monoxide poisoning longitudinally monitored by diffusion tensor imaging,American Journal of Neuroradiology,10.3174/ajnr.A2600,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it does not meet several key inclusion criteria and aligns with multiple exclusion criteria. Firstly, the study is described as 'A case of delayed encephalopathy', which falls under the exclusion criterion for 'Non observational studies such as experimental (clinical trials, especially for a drug), qualitative studies, or case reports, case studies, case-series'. The inclusion criteria specifically look for primary or secondary observational studies. Secondly, Parkinson's disease is not explicitly mentioned as an adverse health outcome in the title or abstract; the outcome of interest is 'delayed encephalopathy after carbon monoxide poisoning'. This violates the inclusion criterion that 'Parkinson's is explicitly mentioned as an adverse health outcome' and the related criterion that 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution'. Although Carbon Monoxide (CO) is mentioned as an air pollutant, the lack of Parkinson's as an outcome is a critical exclusion factor. and Exclusion reason: study_design and Exclusion labels: study_design, population",,,
"White, ; Vivian, E.R.; Quek, H.",2025,Climate Change Impacts on Air Pollution and Effects on Brain Health,NA,NA,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it is explicitly identified as a 'review' in the abstract ('This review examines...'). The inclusion criteria specify 'Primary or secondary observational studies' and the exclusion criteria explicitly state to 'Look for key words in title & abstract that suggest an article is a review, a meta-analysis, commentary, editor, a summary, or perhaps a book chapter.' This directly violates the study design requirement. and Exclusion reason: publication_type",,,
"Berlot, ; Pavlović, A.; Kojović, M.",2024,Secondary parkinsonism associated with focal brain lesions,Frontiers in Neurology,10.3389/fneur.2024.1438885,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded because it is a review article, as indicated by phrases such as 'We review different entities' in the abstract. The inclusion criteria specifically state 'Primary or secondary observational studies' and the exclusion criteria explicitly list 'review, a meta-analysis, commentary, editor, a summary, or perhaps a book chapter' as non-observational studies to be excluded. Although Carbon Monoxide (CO) is mentioned as an intoxication leading to secondary parkinsonism, fulfilling the exposure and outcome criteria, the study design does not meet the requirements for inclusion. and Exclusion reason: study_design",,,
"El-Sayed, ; Maamoun, H.S.; Rabie, G.H.; Morsy, Y.; Ali, M.G.; Rady, A.M.",2021,"Microbial tyrosinase: Biochemical, molecular properties and pharmaceutical applications",Biomedical and Pharmacology Journal,10.13005/bpj/2229,VERY_HIGH,EXCLUDE,EXCLUDE,"The article is excluded for several reasons based on the provided criteria. Firstly, the article is explicitly stated as a 'review' in the abstract ('Thus, this review has been focused on...'), which falls under the exclusion criterion for 'Non observational studies such as experimental (clinical trials, especially for a drug), qualitative studies, or case reports, case studies, case-series'. The inclusion criteria specifically require 'Primary or secondary observational studies of a human population'. Secondly, the article does not mention any of the specified air pollutants (Carbon Monoxide (CO), Ozone (O3), Nitrogen Dioxide (NO2)) in its title or abstract, which is a mandatory inclusion criterion. While Parkinson's disease is mentioned as an adverse health outcome, it is discussed in relation to tyrosinase activity and neuromelanin, not in relation to air pollution, failing the inclusion criterion that 'Parkinson's is explicitly mentioned as an adverse health outcome related to air pollution'. and Exclusion reason: study_design and Exclusion labels: study_design, exposure",,,
